bad_flag,transact_id,weight,numeric1,numeric2,numeric3,numeric4,numeric5,character1,character2,character3,character4,character5,numeric6,numeric7,character6,character7,numeric8,character8
1,28,1.8383638677,176.2379074,96,,3.4727028663,5,2,1,71,,Y,1101.5478987,506,4,51,1107.7003394,54
1,29,1.2686403728,190.4940679,84,,6.0971654613,5,2,0,89,,Y,1112.0226714,498,8,53,1120.5793975,54
1,30,2.6537589297,44.936181874,10,,6.0731327139,5,1,1,113,,Y,1094.1046492,497,8,53,1101.1387822,55
1,31,6.3247660983,196.98735988,79,,3.3547849995,5,1,4,82,,Y,1006.308592,545,9,48,1022.9043973,49
0,32,3.4175597725,174.0469844,11,,4.1307502938,5,6,5,88,,Y,267.75358217,622,9,77,283.33293388,80
1,33,1.7118283269,224.20691856,77,,2.7179995384,5,3,2,70,,Y,1070.3377594,493,8,46,1077.9046385,46
0,34,3.60234506,164.78042765,6,,4.2842448378,5,1,5,97,,Y,518.98347957,607,9,64,526.30204849,65
0,35,1.6452434143,227.69733049,81,,1.148671546,5,4,3,67,,Y,709.28654924,619,9,72,728.28150461,73
0,36,0.6431983116,243.35285004,76,,3.3131496713,5,2,0,76,,Y,935.55370741,565,5,78,939.49742477,81
0,37,2.0386930048,138.89536214,39,,3.8482676404,5,2,1,42,,Y,931.72004682,635,8,82,938.58584917,84
0,38,1.0973540289,148.0884963,7,,6.1256724657,5,4,5,80,,Y,1025.9881323,608,7,67,1043.7749097,68
1,39,0.6343742362,221.61871034,98,,3.5414606389,5,2,3,72,,Y,1082.6914346,494,11,51,1097.4875285,52
1,40,2.3188107474,188.54370237,81,,4.0413663884,5,4,4,87,,Y,986.36016917,460,11,63,988.05150062,64
0,41,0.5593326869,131.30444044,5,,6.8923908687,5,1,3,92,,Y,963.74692501,565,4,84,969.26675435,86
0,42,2.1159164459,194.47698904,6,,3.5491746148,5,3,2,107,,Y,917.45994121,615,10,76,926.61867176,78
1,43,3.3548550569,136.60108585,75,36.374900952,3.1267522159,5,3,4,80,,Y,1026.2419297,487,13,56,1030.6953664,57
1,44,0.7960444213,41.934494567,101,,1.5248188778,5,5,4,13,,Y,979.74619593,503,10,38,981.61901584,39
0,45,3.8031386525,215.50823638,85,,3.0576114287,5,4,2,101,,Y,763.66278782,630,10,74,775.80116638,74
0,46,0.8240746911,49.639724572,100,,1.3420119384,5,3,1,4,,Y,899.93701339,619,6,78,910.26029601,81
1,47,1.958568458,85.553101728,50,,0.4571430018,5,1,3,,,Y,898.5731594,476,9,42,904.84283815,48
1,48,1.4162790161,214.21788293,81,,0.8413742578,5,2,1,82,,Y,1038.1483717,546,12,45,1041.9482723,49
0,49,1.8118819333,195.8012783,67,,8.4377503742,5,4,0,94,,Y,717.48456992,581,4,65,718.40605293,67
0,50,0.5246939937,132.0555993,7,,5.0279621076,5,1,1,79,,Y,1085.9539343,617,10,69,1100.5708843,71
1,51,0.5707306316,242.00515126,82,,2.8129860251,5,1,0,71,,Y,1043.7057468,491,9,51,1058.4015232,51
0,52,1.9795701082,166.02147953,80,,3.027034573,5,5,0,75,,Y,478.72206593,630,8,63,485.9512199,65
1,53,0.5231965543,243.90534497,70,,3.9176115838,5,2,4,73,,Y,997.03965968,514,14,55,1009.2141864,57
0,54,0.756965303,73.882312505,10,,2.6979900278,5,1,4,100,,Y,790.19083437,609,11,74,797.5439584,74
1,55,0.9922311839,221.59890175,86,,7.6437459643,5,2,0,78,,Y,1021.5042751,489,8,44,1022.1139521,44
0,56,1.7228729246,178.73708661,74,,5.1658534562,5,3,5,82,,Y,746.80278237,587,6,88,758.4698898,89
1,57,1.0523820496,144.98755231,81,,2.2472109651,5,2,0,63,,Y,991.28815887,531,9,57,1007.9302245,58
0,58,1.1852651833,101.1092303,78,,1.9599493642,5,3,2,75,,Y,781.93179807,613,6,77,794.66304459,79
0,59,1.8113812285,118.12579102,38,,4.5316479512,5,1,3,47,,Y,986.45908805,598,8,67,997.03943878,69
1,60,7.1761814762,96.476323227,48,,1.3790809829,5,1,3,57,,Y,920.08730147,472,9,55,920.81180061,56
0,61,1.6029429449,124.47592238,13,,4.9925589777,5,1,3,,,Y,548.18383666,615,7,62,554.47770458,65
0,62,1.6166764643,182.06160262,7,,5.0317384504,5,1,2,,,Y,565.40912159,557,7,63,567.86935372,67
0,63,1.4801838375,173.67255013,74,,5.3334766701,5,3,2,79,,Y,825.03490487,607,7,91,830.2254033,92
1,64,1.1892753255,211.171804,82,,2.0268781287,5,2,0,94,,Y,1008.1358646,451,7,51,1022.5728307,53
1,65,0.8518272551,177.46260748,7,,4.283296991,5,1,5,96,,Y,887.35476158,494,10,39,898.19875324,40
1,66,1.178783074,,69,,1.9604732126,5,2,0,73,,Y,1114.1606877,476,8,50,1131.9522051,50
0,67,3.4239626699,148.56177936,8,,6.1956832116,5,1,3,100,,Y,913.17165737,579,4,83,927.80535283,83
1,68,4.5349606599,203.45747926,74,,2.4967536579,5,0,4,85,,Y,949.29670017,463,10,62,960.62491968,67
1,69,0.5541802326,118.68643334,78,,2.7047199369,5,2,2,96,,Y,1079.3361279,529,4,55,1097.4952466,57
0,70,0.9647209396,135.14947801,58,,4.624485502,5,2,1,68,,Y,794.98577427,608,14,78,807.04388543,79
0,71,4.0351979713,118.27134019,50,,2.8478387619,5,0,8,46,test,Y,783.62639662,613,4,66,790.13908989,69
0,72,1.574905214,211.65483037,77,,2.261720517,5,9,1,66,,Y,490.17137432,614,5,77,509.76934687,79
1,73,0.8335533784,182.3506017,72,,0.9422044303,5,2,1,89,,Y,960.67255424,487,11,43,962.20031102,43
1,74,0.9911410635,193.35516311,78,,5.5427890493,5,2,3,76,,Y,880.10874106,491,14,54,898.17266131,55
0,75,1.9471420838,118.10071485,52,,1.4949194798,5,4,5,49,,Y,977.33962062,605,6,71,996.14315928,74
0,76,0.722691727,223.56479562,77,,5.3708732868,5,3,2,74,,Y,775.58532836,549,6,72,786.16984533,73
0,77,2.4751153068,85.809269897,11,,5.4230340943,5,1,4,,,Y,692.84849051,612,13,80,705.69670692,83
0,78,2.2819081334,149.9439368,6,,3.9865503496,5,3,1,111,,Y,1075.8269356,619,8,65,1085.989261,67
1,79,0.9456709187,140.50564768,7,,6.5781676617,5,3,3,106,,Y,1055.5927439,521,15,52,1070.1187379,53
0,80,0.8232566169,154.08139405,9,,7.5890234703,5,3,2,105,,Y,905.00227788,583,7,76,912.62882573,79
0,81,0.9118578308,50.960732903,123,,1.2977230905,5,10,0,7,,Y,600.77688504,642,4,62,620.60134433,62
1,82,1.1939042412,91.509254117,53,,0.2397167104,5,0,1,62,,Y,962.71943871,507,6,47,977.28312516,51
0,83,2.6615635167,160.88232211,7,,6.0336308205,5,3,1,103,,Y,652.05960857,602,11,69,663.92905282,70
0,84,1.6184559793,82.953829972,54,,5.2544237617,5,1,4,39,,Y,771.95760457,598,11,71,777.83994357,72
0,85,1.618450585,221.16828773,80,,3.5995477305,5,4,1,71,,Y,954.97018898,583,7,62,965.0290247,63
1,86,1.2879518479,222.23693398,64,71.475895087,2.3718813022,5,2,2,90,,Y,974.0814227,525,6,38,979.507667,41
0,87,0.7842714226,96.902901575,45,,4.1698794007,5,3,3,37,,Y,669.05410559,624,6,66,682.86186563,71
1,88,1.6983312363,72.297671276,11,,5.5567789176,5,2,5,86,,Y,851.90333861,451,9,43,871.07238852,46
1,89,1.2114083465,227.41158173,89,,1.8805189691,5,2,1,76,,Y,1138.2654263,495,16,56,1141.3138711,59
1,90,2.3668685491,98.569601967,10,,3.6700793803,5,2,2,116,,Y,1016.0390821,535,9,58,1018.598135,60
0,91,0.9199084509,181.37169796,97,,4.4861527872,5,3,1,98,,Y,829.00624166,607,5,78,838.48290668,81
0,92,1.2509067289,47.825837265,103,,1.4256343057,5,5,0,12,,Y,1038.1748765,606,9,72,1040.9008346,73
0,93,0.8542616517,43.806830847,108,,1.4428808765,5,6,0,11,,Y,380.45073265,608,6,76,400.16461087,78
1,94,1.7477721809,67.72529608,12,,3.4505429604,5,4,,98,,Y,1022.8842987,507,14,49,1030.2583662,52
1,95,1.4258461977,117.85419897,14,,6.888034413,5,4,3,86,,Y,1017.1807544,496,10,50,1027.1982892,55
1,96,0.5649410559,189.95987239,7,,6.3157479315,5,2,2,93,,Y,979.11700398,501,8,51,980.92867867,55
0,97,1.2172558233,192.41428463,92,,5.3400994911,5,0,2,78,,Y,902.74052963,587,11,68,908.73820238,69
0,98,0.9675385787,223.46486142,76,,1.1762804584,5,4,3,88,,Y,760.72288911,599,14,41,774.07719466,42
0,99,0.8947130191,180.57175493,13,,5.7701318593,5,1,2,107,,Y,747.33688954,621,11,68,749.06619241,68
0,100,3.6274140267,224.32432422,69,,3.0257164427,5,1,1,84,,Y,762.52678964,587,6,78,764.0480603,81
0,101,0.8645080161,193.37520137,70,,6.1970055218,5,5,2,74,,Y,918.36797821,624,9,75,935.15266116,77
0,102,0.9771193829,,,,2.5805186421,5,2,4,78,,Y,355.46996077,647,10,96,364.57865228,97
0,103,0.7490182598,141.02374697,73,,3.6846506692,5,3,0,80,,Y,492.2520492,586,9,50,504.97579103,54
1,104,2.8410451551,200.34316914,,,1.3836117261,5,3,2,89,,Y,938.83445279,508,8,39,956.64036214,41
1,105,2.0995386809,132.35069827,74,,4.4034172809,5,6,2,75,,Y,975.03047874,489,17,45,991.63177171,46
0,106,0.7694048493,171.95356888,70,,2.5302723176,5,2,2,87,,Y,682.91318526,596,9,82,689.03980054,83
1,107,3.0146686802,55.785283159,123,,1.3731213231,5,3,2,10,,Y,1110.0129273,505,7,54,1117.834323,54
1,108,2.043364625,202.28242671,15,,5.6890904521,5,5,3,95,,Y,1014.0417219,538,9,50,1032.1994688,51
0,109,1.1759982111,213.96507762,94,,3.812433202,5,4,0,79,,Y,729.81137127,578,5,68,736.62102656,69
0,110,1.1412434027,163.57943464,7,,4.7841281921,5,4,1,99,,Y,1003.636055,600,7,64,1009.653823,65
1,111,0.6544413246,83.816052357,50,,5.4012815994,5,1,4,46,,Y,1020.4754281,570,8,41,1026.3214242,42
0,112,3.9151958619,222.21463565,89,,3.4767645449,5,2,4,101,,Y,695.74437002,614,6,58,699.15052497,63
1,113,0.6139328005,270.74394619,80,,2.0748014516,5,4,1,92,,Y,971.89546105,509,6,50,979.06600527,51
1,114,1.5421044323,80.243108529,12,,4.1088862515,5,1,1,106,,Y,892.09018781,523,4,53,894.64184921,56
0,115,0.5737173204,234.14375512,85,,3.6110388589,5,4,2,91,,Y,631.90081458,557,9,83,641.93369872,86
0,116,0.5398345467,164.69052791,71,,3.4546195577,5,1,1,72,,Y,504.23478437,626,5,87,510.1699886,87
1,117,1.850283023,209.12116889,4,,6.5338763452,5,2,4,95,,Y,911.18707678,490,13,61,927.53159637,66
1,118,1.2248039891,78.639848992,46,,0.3382187906,5,0,3,54,,Y,961.61597322,489,12,67,977.61464229,69
0,119,1.3513052429,160.81490669,16,,3.6282715204,5,3,0,108,,Y,857.08773769,589,12,65,871.70249039,66
1,120,0.5412157171,139.31292797,14,,4.3881915286,5,0,5,95,,Y,1069.440505,494,7,48,1088.5396613,51
0,121,2.3183580245,274.48230578,65,,2.4403299132,5,4,3,,,Y,966.12583833,616,10,87,972.63048157,89
1,122,1.7268973876,43.622980299,120,,1.2474819532,5,4,2,10,,Y,980.30860513,511,11,60,986.12495775,62
1,123,1.0666889013,310.44079595,88,,2.538060017,5,4,2,81,,Y,1066.430932,492,11,54,1078.3371471,56
1,124,1.1592629591,54.210355253,113,,1.358174044,5,6,0,12,,Y,1010.0214679,486,9,48,1011.5102365,51
1,125,2.3230005273,238.58204682,81,,2.9511016696,5,2,1,83,,Y,1095.2612914,479,6,45,1098.9251982,46
0,126,1.9544474649,143.78903073,15,,6.5797384236,5,4,1,106,,Y,1039.1633832,595,10,76,1051.4815733,78
1,127,0.6275859718,262.67492524,72,,3.6521746858,5,5,2,87,,Y,891.45196362,501,9,45,901.22744128,49
1,128,1.2597185519,260.68431237,84,,3.455541552,5,3,1,83,,Y,1187.9279226,502,7,43,1196.7444483,43
0,129,3.0062238459,101.38117621,10,,6.009253228,5,2,3,93,,Y,1113.5776544,608,7,73,1128.5878282,76
0,130,2.8952942288,114.74761682,11,,6.0574946793,5,4,4,95,,Y,648.61087221,599,7,59,666.79684686,59
0,131,1.82333612,176.67830059,10,,4.4590493801,5,3,2,114,,Y,731.33067722,627,6,71,739.88836281,73
1,132,0.6632430543,44.477947854,123,,1.3652267796,5,2,1,11,,Y,1132.201866,543,11,48,1143.5014281,52
0,133,0.7076391865,216.69962141,86,,5.1813902193,5,6,1,79,,Y,939.11974054,604,13,69,953.53292185,73
1,134,0.8898634722,115.04088491,6,,3.9845936832,5,2,5,80,,Y,1034.5264339,522,11,45,1036.8757964,50
0,135,1.0646193126,211.9863084,83,,3.7167442986,5,5,5,88,,Y,696.57734595,608,4,77,705.87457533,79
0,136,0.8506236229,178.38404011,5,,6.7538303201,5,2,3,95,,Y,755.23105121,543,10,59,760.22827507,59
1,137,0.7499862959,151.08618272,9,,4.6313279526,5,1,,98,,Y,1036.4712509,485,5,52,1044.6059014,54
0,138,0.9810831463,179.88643619,14,,4.6463588292,5,4,1,,,Y,854.62902508,625,9,68,863.44718994,70
0,139,1.0212679119,102.34211513,4,,5.4444779362,5,1,5,114,,Y,975.75460705,603,11,85,980.76891982,86
0,140,1.6250504748,175.6457594,89,,0.3100137657,5,3,1,93,,Y,682.89576982,584,8,59,702.83771759,61
1,141,0.595285914,140.87596915,67,,2.3493570975,5,0,4,91,,Y,1027.8764936,515,7,55,1036.5041687,55
0,142,0.609768393,297.36102445,95,,2.8627556188,5,2,1,,,Y,798.60819715,615,10,87,814.56921338,90
0,143,1.4485326187,153.47683951,13,,7.0229892908,5,3,0,107,,Y,919.08332968,572,3,74,920.97221294,74
1,144,2.7006936094,157.42108789,94,,1.0955799907,5,3,4,68,,Y,1018.7967342,449,12,46,1037.5346678,47
1,145,0.7192237369,191.63953531,13,,4.7840398934,5,0,3,107,,Y,1114.1491882,465,8,43,1117.0947159,44
1,146,1.2524583567,106.47182609,64,,6.7940367045,5,4,3,79,,Y,903.35454985,521,5,49,915.60106523,53
0,147,4.20917502,194.09250969,9,,5.3226121421,5,0,5,107,,Y,942.01939843,587,3,72,948.11982079,74
0,148,3.7216497178,100.73030849,9,,3.9567502221,5,2,1,112,,Y,847.23801817,590,7,64,847.32305327,66
0,149,0.6942979381,146.96015663,82,,6.4532175501,5,3,1,74,,Y,841.07274086,631,15,70,856.3214046,72
1,150,2.6349156227,90.096015498,37,,6.7409082921,5,1,3,42,,Y,984.23031929,525,10,48,997.7621356,53
0,151,1.4574810339,153.19799203,10,,4.1330759582,5,1,3,95,,Y,811.82356432,639,7,58,814.82422401,60
0,152,1.3638637874,107.36766097,38,,0.5847561073,5,0,4,44,,Y,442.12652214,654,11,61,456.40106093,64
1,153,0.5550419766,246.33225675,80,,3.4295415559,5,4,1,73,,Y,1048.4298265,529,9,44,1050.1348016,46
1,154,1.2282809747,121.4286467,76,,3.0497762708,5,0,3,66,,Y,1111.907717,490,17,51,1124.2419376,52
0,155,0.5793889656,140.6542132,89,,2.343196162,5,3,1,71,,Y,769.92865182,573,10,75,787.44427797,77
0,156,0.5951344072,199.900725,76,,4.2084545286,5,7,4,77,,Y,763.18006234,575,13,53,777.03413501,53
0,157,0.5067830836,126.44234622,9,,4.8628291567,5,3,5,102,,Y,667.87983772,559,12,68,679.39753108,68
0,158,1.1825097128,191.12371475,8,,6.1521654211,5,0,4,91,,Y,800.62556922,574,6,64,816.5944791,68
0,159,1.0734614747,229.13776673,83,,3.9757038964,5,0,3,76,,Y,697.54287148,641,6,72,716.56581181,81
0,160,0.8325827554,207.21258231,14,,4.3827507002,5,0,4,100,,Y,711.79527262,601,10,82,723.79469794,83
0,161,0.8521991395,178.01059618,7,,4.5391490127,5,5,2,109,,Y,732.29251438,591,14,63,737.15142728,63
1,162,1.9594293516,199.77605819,78,,0.8550477091,5,2,1,75,,Y,924.12684253,482,9,49,931.82040043,52
0,163,1.9520805736,201.72440655,7,,5.7202051212,5,1,5,116,,Y,863.4544116,619,7,59,883.16137286,61
1,164,0.6116805701,257.16699852,84,,1.4391734572,5,5,2,79,,Y,942.624517,530,11,56,943.3889995,58
0,165,0.9705848689,123.21850123,11,,5.7238419548,5,4,1,104,,Y,748.65573016,645,11,60,762.12277154,60
1,166,2.401434266,139.97820594,10,,3.326983558,5,0,4,96,,Y,919.55978013,454,12,49,927.98047533,52
1,167,1.0688441495,160.37349492,7,,2.7252655888,5,0,1,117,,Y,993.87626004,515,11,61,1009.5052525,61
1,168,2.999246786,73.045455565,51,,1.5546767482,5,0,3,43,,Y,1040.0385943,515,12,46,1045.205282,47
0,169,2.0475249966,50.478739328,115,,1.5380530507,5,5,0,9,,Y,1053.9224849,590,13,90,1066.7366555,91
0,170,1.232141052,160.43201249,9,,6.0571434399,5,2,4,97,,Y,955.1776435,614,11,63,968.53330672,64
1,171,1.2551645864,240.84444148,87,,2.4600983799,5,3,2,77,,Y,1143.5485892,500,5,54,1150.7547876,57
0,172,0.6942264946,232.43369428,69,,2.1081460927,5,4,3,85,,Y,933.44239975,596,8,82,946.63787756,82
1,173,0.5793077638,55.647478754,131,,1.418794442,5,3,0,10,,Y,941.0434042,489,13,58,951.11321619,59
0,174,3.2765957456,127.60832111,72,,1.7993695671,5,3,2,75,,Y,1123.2381848,624,6,70,1126.6977584,71
0,175,0.6108401779,87.034654034,62,,0.8636062061,5,0,3,47,,Y,861.72709067,634,11,62,870.95375507,62
0,176,0.7122408099,133.95481444,8,,4.0471946955,5,5,2,91,,Y,843.02086686,599,3,61,853.98835789,64
1,177,2.6362678531,188.32353703,70,,2.9845871196,5,4,2,83,,Y,977.94239226,494,12,63,996.40364306,65
1,178,0.7616746879,113.65342858,8,,5.709214163,5,6,2,87,,Y,1082.3548021,499,10,45,1093.6899097,47
1,179,2.5419291818,223.28210544,79,,1.0655636538,5,3,2,,,Y,980.29327548,537,13,47,991.65344193,49
1,180,1.0917611527,40.393111055,113,,1.3905693479,5,7,2,10,,Y,1043.5290464,522,9,51,1061.6587783,53
0,181,2.1202387215,139.19376928,8,,5.5780011066,5,0,4,80,,Y,839.67495142,586,7,70,850.22059621,70
1,182,2.4773945259,203.91256109,78,,3.662535717,5,3,4,72,,Y,1160.0783313,499,13,50,1175.2324341,52
0,183,0.6430936486,146.7083054,7,,7.7217680284,5,3,1,102,,Y,654.48341112,592,9,76,663.5835737,77
0,184,1.3576356984,265.54261016,78,,2.2394992139,5,4,1,78,,Y,1048.4335922,584,10,72,1052.0974958,75
0,185,1.489084102,275.05810553,73,,2.6657923325,5,4,1,81,,Y,632.73105376,579,6,74,634.80664234,74
1,186,2.6835273675,143.81871125,7,,4.2690999109,5,3,2,106,,Y,1017.3312317,531,10,30,1033.0387472,31
0,187,2.2368369733,54.021784796,112,,1.413797169,5,3,2,6,,Y,877.00542466,576,10,81,895.18301126,84
1,188,3.348179124,180.85614265,17,,3.6490332357,5,2,5,96,,Y,1071.2703252,509,10,36,1080.7672246,40
1,189,2.5580083851,120.6351854,12,,4.3727484229,5,1,2,91,,Y,984.36931734,518,14,45,998.58760942,47
1,190,0.9773490056,202.25559315,76,,2.1671971913,5,3,4,,,Y,1036.6145772,534,10,54,1045.7374457,54
1,191,1.9312923931,117.17663429,48,,0.919930753,5,3,5,62,,Y,1025.1469516,483,12,60,1044.8722122,60
1,192,1.4471445036,218.18159012,16,,3.511371394,5,2,4,120,,Y,974.28228068,503,11,48,992.0666099,49
0,193,0.8913860959,162.9353582,6,,4.4782195596,5,1,2,111,,Y,732.59877242,581,6,62,741.08133943,67
1,194,0.8317145931,191.47990758,70,,2.4986513356,5,2,3,102,,Y,906.04968063,494,9,43,918.31129509,45
1,195,1.5619652751,137.12807428,76,,3.0761354105,5,3,6,90,,Y,1066.6919721,519,7,52,1074.7490688,53
0,196,0.9692416384,207.18146197,87,,2.6951396544,5,5,3,73,,Y,769.80498341,625,10,53,784.52844063,54
1,197,1.1864343751,184.20124603,63,,1.8759548084,5,3,6,79,,Y,1020.4561588,477,4,43,1029.702217,44
0,198,0.9643847487,159.98958485,78,,1.7854083283,5,1,1,74,,Y,604.66693776,562,8,81,615.13032224,84
1,199,1.0025909165,217.1713424,88,,4.3478699581,5,2,1,74,,Y,842.84306786,507,9,53,844.14098246,56
0,200,1.6900576848,89.088863681,87,,2.1706464815,5,5,1,103,,Y,552.64291664,556,8,68,569.48630891,70
1,201,0.8624241653,203.55576182,85,,4.6922767438,5,2,2,77,,Y,958.04514084,504,5,32,963.11480756,33
0,202,0.5737033317,63.328057342,53,,2.4141921123,5,3,0,48,,Y,1078.0637104,579,6,81,1078.2479319,82
0,203,2.036920673,236.85103103,90,,4.2203772545,5,3,3,73,,Y,845.54743962,586,8,82,847.29565434,84
1,204,0.6049987533,206.19396176,8,,3.8450927971,5,1,2,107,,Y,1070.2809375,491,8,41,1089.6446216,42
0,205,1.0073911059,52.246092996,131,,1.4516337054,5,3,1,9,,Y,755.54363025,648,10,80,760.99946853,82
0,206,2.3755396033,124.56472498,49,,4.9881098459,,0,5,50,,Y,889.00356123,625,8,74,896.26226323,75
1,207,0.9182127188,144.55527802,104,,1.3684635598,5,3,4,79,,Y,1041.5682675,477,8,57,1042.0226956,58
1,208,0.5903037684,163.59869987,,,1.2162463707,5,4,3,83,,Y,940.94626735,546,14,39,953.11700907,39
0,209,2.6899175121,272.14651021,11,,5.5173403473,5,3,5,102,,Y,328.96431475,590,8,88,342.90554253,89
0,210,0.5923347451,179.23010129,84,,4.9170593226,5,2,1,72,,Y,667.89447239,604,10,54,680.40187085,56
1,211,1.4153050947,51.500647172,123,,1.3506798281,5,2,0,13,,Y,989.06766758,502,9,56,990.23557532,56
0,212,0.8931106373,207.2171302,17,,4.1090461157,5,2,1,108,,Y,1037.2188885,592,10,69,1049.8649098,71
1,213,0.5529201875,156.47767402,75,,3.2654359719,5,7,2,91,,Y,1115.9239352,529,8,55,1128.3975503,56
1,214,0.8536507159,113.45319035,6,,4.3130218371,5,2,4,92,,Y,976.52565854,488,2,39,983.69335391,40
0,215,1.0269254936,303.79945115,83,,4.3998461609,5,2,5,74,,Y,938.63289548,592,6,72,946.99582783,75
0,216,6.2222590099,181.54840786,10,,6.5855526767,5,1,6,97,,Y,539.75459342,571,6,81,547.73823112,83
1,217,5.7122637303,102.5595495,8,,5.1704028659,5,3,1,92,,Y,1019.9118166,471,5,42,1028.5991671,43
1,218,1.0182425669,111.01625035,10,,4.030854329,5,2,3,103,,Y,982.05792663,504,9,56,997.54527156,57
1,219,0.901549363,195.01006468,83,,2.5217548333,5,6,3,73,,Y,1065.1441392,456,9,50,1080.5537779,53
0,220,0.6002106744,115.55320967,9,,6.2714931179,5,0,1,97,,Y,555.07553698,630,11,79,572.94877314,80
0,221,0.7325570552,60.181447963,118,,1.390545706,5,3,1,11,,Y,691.27336714,575,12,56,702.84557375,57
1,222,0.5636467114,173.75239447,82,,1.9960191577,5,5,1,67,,Y,1016.0048741,510,16,49,1035.1921951,52
1,223,1.4165064345,160.49952564,14,,3.275732511,5,1,2,88,,Y,987.99308188,500,7,57,988.39139985,60
0,224,0.9769596903,235.42363491,61,,3.8261193122,5,5,1,95,,Y,1118.5742345,596,6,63,1132.9326351,65
0,225,0.9553115855,227.49855646,85,,5.0964947314,5,3,2,68,,Y,796.94329161,599,7,74,813.16631682,77
1,226,1.2330635787,188.61324442,87,,5.9849305182,5,4,1,78,,Y,1063.3985078,516,10,57,1077.3170342,57
0,227,0.5891012604,172.92893309,91,,3.9018861442,5,5,1,73,,Y,798.210951,603,10,67,808.87390179,72
0,228,1.1708027739,241.16777447,79,,4.9564768889,5,5,0,,,Y,562.365897,600,7,58,567.91932322,60
1,229,0.8276991489,166.13476156,13,,2.9541144269,5,1,2,90,,Y,999.09876613,522,15,46,1013.8911808,46
1,230,0.6886265815,154.94351043,10,,3.628064294,5,2,1,85,,Y,943.46636857,514,10,53,955.00141789,54
0,231,0.9583578493,201.19121418,78,,5.0521143572,5,1,1,75,,Y,698.21894629,598,7,67,700.50451779,72
0,232,2.3379553437,121.07309608,15,,4.3500808989,5,0,2,101,,Y,1273.4674016,640,9,71,1281.4949063,72
1,233,2.1113526194,200.74030919,8,,5.1896551231,5,0,2,102,,Y,985.32340003,471,12,38,994.21193021,40
